T (K);H (kJ/kmol)
132,45;-87810,04948
132,5;-87807,20245
132,55;-87804,35543
132,6;-87801,5084
132,65;-87798,61951
132,7;-87795,77249
132,75;-87792,92546
132,8;-87790,03657
132,85;-87787,18955
132,9;-87784,30066
132,95;-87781,45363
133;-87778,60661
133,05;-87775,71772
133,1;-87772,87069
133,15;-87769,9818
133,2;-87767,13478
133,25;-87764,28775
133,3;-87761,39886
133,35;-87758,55184
133,4;-87755,66294
133,45;-87752,81592
133,5;-87749,92703
133,55;-87747,08
133,6;-87744,19111
133,65;-87741,34409
133,7;-87738,4552
133,75;-87735,5663
133,8;-87732,71928
133,85;-87729,83039
133,9;-87726,98336
133,95;-87724,09447
134;-87721,20558
134,05;-87718,35856
134,1;-87715,46966
134,15;-87712,58077
134,2;-87709,73375
134,25;-87706,84486
134,3;-87703,95596
134,35;-87701,10894
134,4;-87698,22005
134,45;-87695,33116
134,5;-87692,44226
134,55;-87689,59524
134,6;-87686,70635
134,65;-87683,81746
134,7;-87680,92856
134,75;-87678,03967
134,8;-87675,19265
134,85;-87672,30376
134,9;-87669,41486
134,95;-87666,52597
135;-87663,63708
135,05;-87660,74819
135,1;-87657,8593
135,15;-87654,9704
135,2;-87652,08151
135,25;-87649,19262
135,3;-87646,30373
135,35;-87643,41484
135,4;-87640,52594
135,45;-87637,63705
135,5;-87634,74816
135,55;-87631,85927
135,6;-87628,97038
135,65;-87626,08148
135,7;-87623,19259
135,75;-87620,3037
135,8;-87617,41481
135,85;-87614,52592
135,9;-87611,63702
135,95;-87608,74813
136;-87605,85924
136,05;-87602,92848
136,1;-87600,03959
136,15;-87597,1507
136,2;-87594,2618
136,25;-87591,37291
136,3;-87588,44215
136,35;-87585,55326
136,4;-87582,66437
136,45;-87579,77548
136,5;-87576,84472
136,55;-87573,95582
136,6;-87571,06693
136,65;-87568,13617
136,7;-87565,24728
136,75;-87562,35839
136,8;-87559,42763
136,85;-87556,53874
136,9;-87553,64984
136,95;-87550,71908
137;-87547,83019
137,05;-87544,89943
137,1;-87542,01054
137,15;-87539,12165
137,2;-87536,19089
137,25;-87533,302
137,3;-87530,37124
137,35;-87527,48234
137,4;-87524,55158
137,45;-87521,66269
137,5;-87518,73193
137,55;-87515,80117
137,6;-87512,91228
137,65;-87509,98152
137,7;-87507,09263
137,75;-87504,16187
137,8;-87501,23111
137,85;-87498,34222
137,9;-87495,41146
137,95;-87492,4807
138;-87489,5918
138,05;-87486,66104
138,1;-87483,73028
138,15;-87480,84139
138,2;-87477,91063
138,25;-87474,97987
138,3;-87472,04911
138,35;-87469,16022
138,4;-87466,22946
138,45;-87463,2987
138,5;-87460,36794
138,55;-87457,43718
138,6;-87454,50642
138,65;-87451,57566
138,7;-87448,68677
138,75;-87445,75601
138,8;-87442,82525
138,85;-87439,89449
138,9;-87436,96373
138,95;-87434,03297
139;-87431,10221
139,05;-87428,17145
139,1;-87425,24069
139,15;-87422,30993
139,2;-87419,37917
139,25;-87416,44841
139,3;-87413,51765
139,35;-87410,58689
139,4;-87407,65613
139,45;-87404,72537
139,5;-87401,75274
139,55;-87398,82198
139,6;-87395,89122
139,65;-87392,96046
139,7;-87390,0297
139,75;-87387,09894
139,8;-87384,12631
139,85;-87381,19555
139,9;-87378,26479
139,95;-87375,33403
140;-87372,3614
140,05;-87369,43064
140,1;-87366,49988
140,15;-87363,56912
140,2;-87360,5965
140,25;-87357,66574
140,3;-87354,69311
140,35;-87351,76235
140,4;-87348,83159
140,45;-87345,85896
140,5;-87342,9282
140,55;-87339,95557
140,6;-87337,02481
140,65;-87334,09405
140,7;-87331,12142
140,75;-87328,19066
140,8;-87325,21804
140,85;-87322,28728
140,9;-87319,31465
140,95;-87316,34202
141;-87313,41126
141,05;-87310,43863
141,1;-87307,50787
141,15;-87304,53524
141,2;-87301,56262
141,25;-87298,63186
141,3;-87295,65923
141,35;-87292,6866
141,4;-87289,75584
141,45;-87286,78321
141,5;-87283,81058
141,55;-87280,87982
141,6;-87277,9072
141,65;-87274,93457
141,7;-87271,96194
141,75;-87268,98931
141,8;-87266,05855
141,85;-87263,08592
141,9;-87260,1133
141,95;-87257,14067
142;-87254,16804
142,05;-87251,19541
142,1;-87248,22278
142,15;-87245,25016
142,2;-87242,3194
142,25;-87239,34677
142,3;-87236,37414
142,35;-87233,40151
142,4;-87230,42888
142,45;-87227,45626
142,5;-87224,48363
142,55;-87221,46913
142,6;-87218,4965
142,65;-87215,52388
142,7;-87212,55125
142,75;-87209,57862
142,8;-87206,60599
142,85;-87203,63336
142,9;-87200,66074
142,95;-87197,64624
143;-87194,67361
143,05;-87191,70098
143,1;-87188,72836
143,15;-87185,75573
143,2;-87182,74123
143,25;-87179,7686
143,3;-87176,79598
143,35;-87173,78148
143,4;-87170,80885
143,45;-87167,83622
143,5;-87164,82173
143,55;-87161,8491
143,6;-87158,8346
143,65;-87155,86198
143,7;-87152,88935
143,75;-87149,87485
143,8;-87146,90222
143,85;-87143,88773
143,9;-87140,9151
143,95;-87137,9006
144;-87134,92798
144,05;-87131,91348
144,1;-87128,94085
144,15;-87125,92636
144,2;-87122,91186
144,25;-87119,93923
144,3;-87116,92474
144,35;-87113,91024
144,4;-87110,93761
144,45;-87107,92312
144,5;-87104,90862
144,55;-87101,93599
144,6;-87098,9215
144,65;-87095,907
144,7;-87092,8925
144,75;-87089,91988
144,8;-87086,90538
144,85;-87083,89088
144,9;-87080,87639
144,95;-87077,86189
145;-87074,8474
145,05;-87071,8329
145,1;-87068,8184
145,15;-87065,84578
145,2;-87062,83128
145,25;-87059,81678
145,3;-87056,80229
145,35;-87053,78779
145,4;-87050,7733
145,45;-87047,7588
145,5;-87044,7443
145,55;-87041,68794
145,6;-87038,67344
145,65;-87035,65895
145,7;-87032,64445
145,75;-87029,62996
145,8;-87026,61546
145,85;-87023,60096
145,9;-87020,5446
145,95;-87017,5301
146;-87014,51561
146,05;-87011,50111
146,1;-87008,44475
146,15;-87005,43025
146,2;-87002,41576
146,25;-86999,40126
146,3;-86996,3449
146,35;-86993,3304
146,4;-86990,27404
146,45;-86987,25954
146,5;-86984,24504
146,55;-86981,18868
146,6;-86978,17418
146,65;-86975,11782
146,7;-86972,10332
146,75;-86969,04696
146,8;-86966,03246
