T (K);H (kJ/kmol)
158,4;-85345,32218
158,45;-85340,25616
158,5;-85335,19013
158,55;-85330,16597
158,6;-85325,09994
158,65;-85320,03391
158,7;-85314,96788
158,75;-85309,90186
158,8;-85304,83583
158,85;-85299,72793
158,9;-85294,6619
158,95;-85289,59588
159;-85284,48798
159,05;-85279,38008
159,1;-85274,31406
159,15;-85269,20616
159,2;-85264,09826
159,25;-85258,99037
159,3;-85253,88247
159,35;-85248,77458
159,4;-85243,62481
159,45;-85238,51692
159,5;-85233,36715
159,55;-85228,25926
159,6;-85223,10949
159,65;-85217,95973
159,7;-85212,85183
159,75;-85207,70207
159,8;-85202,5523
159,85;-85197,36067
159,9;-85192,21091
159,95;-85187,06114
160;-85181,86951
160,05;-85176,71975
160,1;-85171,52812
160,15;-85166,33648
160,2;-85161,14485
160,25;-85155,95322
160,3;-85150,76159
160,35;-85145,56996
160,4;-85140,37832
160,45;-85135,18669
160,5;-85129,95319
160,55;-85124,76156
160,6;-85119,52806
160,65;-85114,29456
160,7;-85109,06106
160,75;-85103,82756
160,8;-85098,59406
160,85;-85093,36056
160,9;-85088,12706
160,95;-85082,89356
161;-85077,61819
161,05;-85072,38469
161,1;-85067,10932
161,15;-85061,83396
161,2;-85056,55859
161,25;-85051,28322
161,3;-85046,00785
161,35;-85040,73248
161,4;-85035,45712
161,45;-85030,13988
161,5;-85024,86451
161,55;-85019,54728
161,6;-85014,23004
161,65;-85008,95467
161,7;-85003,63744
161,75;-84998,3202
161,8;-84993,00296
161,85;-84987,64386
161,9;-84982,32662
161,95;-84977,00939
162;-84971,65028
162,05;-84966,29118
162,1;-84960,93208
162,15;-84955,61484
162,2;-84950,25574
162,25;-84944,85476
162,3;-84939,49566
162,35;-84934,13656
162,4;-84928,73558
162,45;-84923,37648
162,5;-84917,97551
162,55;-84912,6164
162,6;-84907,21543
162,65;-84901,81446
162,7;-84896,41349
162,75;-84890,97065
162,8;-84885,56968
162,85;-84880,1687
162,9;-84874,72586
162,95;-84869,28302
163;-84863,88205
163,05;-84858,43921
163,1;-84852,99637
163,15;-84847,55353
163,2;-84842,06882
163,25;-84836,62598
163,3;-84831,18314
163,35;-84825,69844
163,4;-84820,21373
163,45;-84814,72902
163,5;-84809,28618
163,55;-84803,80147
163,6;-84798,2749
163,65;-84792,79019
163,7;-84787,30548
163,75;-84781,7789
163,8;-84776,2942
163,85;-84770,76762
163,9;-84765,24104
